danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,hiphop,rap,pop,electronic,trap,indie,rnb,rock,dance,reggaeton,Label
0.336,0.627,7,-7.463,1,0.0384,0.164,0,0.0708,0.35,150.273,241107,4,0,0,1,0,0,0,1,0,0,0,1
0.66,0.786,2,-4.757,1,0.17,0.209,0,0.112,0.846,177.833,228200,4,0,0,1,0,0,0,0,0,0,0,1
0.798,0.675,6,-5.041,1,0.0442,0.0912,0,0.0894,0.842,101.956,219947,4,0,0,1,0,0,0,0,0,0,0,1
0.725,0.321,1,-10.744,0,0.323,0.578,0,0.0884,0.319,70.142,178640,4,0,1,1,0,1,0,1,0,0,0,1
0.74,0.613,8,-4.88,1,0.145,0.258,0.00372,0.123,0.473,75.023,166568,4,1,1,0,0,0,0,0,0,0,0,1
0.735,0.478,2,-12.472,1,0.0293,0.189,2.48E-06,0.355,0.947,107.682,262960,4,0,0,1,0,0,0,0,0,0,0,1
0.759,0.54,9,-6.039,0,0.0287,0.037,0,0.0945,0.75,116.947,190960,4,0,0,1,0,0,0,0,0,0,0,1
0.825,0.652,1,-3.183,0,0.0802,0.581,0,0.0931,0.931,95.977,233713,4,0,0,1,0,0,0,0,0,1,0,1
0.54,0.674,2,-6.351,1,0.0802,0.0553,0.0608,0.112,0.309,89.933,238719,4,0,0,1,0,0,1,0,0,0,0,1
0.724,0.647,1,-5.642,1,0.0658,0.28,0,0.102,0.435,106.96,207333,4,0,0,1,0,0,0,1,0,0,0,1
0.909,0.405,6,-8.133,0,0.14,0.0306,0.00698,0.105,0.455,154.984,238613,4,1,1,0,0,0,0,0,0,0,0,1
0.825,0.593,6,-6.401,0,0.0988,0.688,0.000161,0.17,0.54,98.078,209755,4,0,0,1,0,0,1,0,0,0,0,1
0.685,0.593,9,-9.083,0,0.284,0.134,0,0.123,0.144,84.763,136187,4,1,1,0,0,0,0,0,0,0,0,1
0.758,0.448,7,-9.441,1,0.103,0.0309,8.67E-05,0.558,0.373,77.176,198960,4,1,1,0,0,0,0,0,0,0,0,1
0.694,0.815,2,-4.328,1,0.12,0.229,0,0.0924,0.813,88.931,228827,4,0,0,1,0,0,0,0,0,0,1,1
0.513,0.796,1,-4.075,1,0.0629,0.00147,0.000209,0.0938,0.345,171.017,201573,4,0,0,1,1,0,0,1,0,0,0,1
0.505,0.34,4,-9.005,1,0.0438,0.576,0,0.21,0.0916,101.993,206459,4,0,0,1,0,0,0,0,0,0,0,1
0.598,0.427,7,-8.764,0,0.0317,0.0546,5.83E-06,0.21,0.0605,76.469,175721,4,0,1,0,0,1,0,0,0,0,0,1
0.614,0.839,0,-4.143,1,0.0702,0.0291,0,0.112,0.657,182.123,193040,4,0,0,1,0,0,0,0,0,0,0,1
0.767,0.671,9,-6.416,0,0.142,0.21,1.12E-05,0.129,0.474,128.072,211859,4,0,0,1,0,0,0,0,0,1,0,1
0.872,0.391,0,-9.144,0,0.242,0.469,4.13E-06,0.297,0.437,134.021,119133,4,1,1,0,0,0,0,0,0,0,0,1
0.746,0.765,6,-4.41,0,0.0993,0.0112,0,0.0936,0.737,114.044,199054,4,0,0,1,0,0,0,0,0,0,0,1
0.613,0.581,0,-8.588,0,0.0424,0.537,0.000345,0.25,0.551,130.033,239560,4,0,0,1,0,0,1,0,0,0,0,1
0.726,0.554,5,-5.29,0,0.0917,0.0421,0,0.106,0.335,169.999,190440,4,0,0,1,0,1,0,1,0,0,0,1
0.413,0.676,1,-5.124,1,0.213,0.0239,0,0.0811,0.0827,173.478,302173,4,1,1,0,0,0,0,0,0,0,0,1
0.736,0.802,0,-4.759,1,0.0864,0.468,0,0.094,0.675,144.005,172325,4,0,0,1,0,0,0,1,0,0,0,1
0.755,0.47,1,-8.72,1,0.139,0.0153,0,0.118,0.0604,76.056,184960,4,1,1,0,0,0,0,0,0,0,0,1
0.716,0.537,0,-7.648,0,0.0514,0.233,0,0.157,0.28,129.979,165978,4,1,1,0,0,1,0,0,0,0,0,1
0.896,0.586,10,-6.687,0,0.0559,0.104,0,0.79,0.642,116.971,196653,4,1,1,0,0,1,0,0,0,0,0,1
0.777,0.357,0,-6.942,1,0.0522,0.757,7.28E-06,0.108,0.172,139.883,210252,4,0,0,1,0,0,1,0,0,0,0,1
0.704,0.758,0,-3.537,1,0.0402,0.233,0.00144,0.0924,0.534,120.003,214907,4,1,1,1,0,1,1,0,1,0,0,1
0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128,194088,4,0,0,1,0,0,1,0,0,1,0,1
0.825,0.317,10,-12.39,1,0.0583,0.497,0.0128,0.11,0.136,103.001,245787,4,1,1,0,0,0,0,1,0,0,0,1
0.935,0.454,1,-7.509,1,0.375,0.0194,0,0.0824,0.357,133.073,187541,4,1,1,0,0,1,0,0,0,0,0,1
0.38,0.219,4,-13.273,0,0.0358,0.917,0.0104,0.0827,0.0517,73.537,242265,4,0,0,1,0,0,1,0,0,0,0,1
0.577,0.522,5,-6.594,0,0.0984,0.13,9.03E-05,0.142,0.119,159.772,218320,4,1,1,0,0,1,0,0,0,0,0,1
0.487,0.789,8,-3.69,1,0.044,0.00947,4.05E-06,0.189,0.0564,150.007,270715,4,1,1,0,0,1,0,0,0,0,0,1
0.464,0.63,7,-7.337,1,0.182,0.0464,0,0.295,0.527,132.96,204093,5,0,0,1,0,0,0,1,0,0,0,1
0.534,0.684,11,-7.874,0,0.717,0.164,0,0.499,0.338,170.416,195720,4,1,1,0,0,0,0,0,0,0,0,1
0.298,0.38,6,-8.426,1,0.0287,0.778,5.62E-05,0.11,0.152,75.602,285634,4,0,0,1,0,0,0,0,0,0,0,1
0.921,0.537,9,-5.723,0,0.0804,0.556,0.00404,0.102,0.711,128.009,135090,4,1,1,0,0,0,0,0,0,0,0,1
0.339,0.214,4,-11.714,1,0.0375,0.908,7.47E-06,0.341,0.363,94.775,206640,3,0,0,0,0,0,0,0,0,0,0,1
0.672,0.855,9,-3.764,1,0.0397,0.021,0,0.323,0.646,123.056,182200,4,0,0,1,1,0,0,0,0,1,0,1
0.704,0.225,6,-14.454,0,0.0994,0.902,0.657,0.106,0.243,120.006,245426,4,0,0,1,0,0,1,0,0,0,0,1
0.817,0.539,6,-6.349,0,0.0621,0.0141,0.000496,0.099,0.158,97.062,210368,4,0,1,0,0,1,0,0,0,0,1,1
0.597,0.45,8,-6.658,1,0.0418,0.223,0,0.382,0.537,178.765,228482,3,0,0,1,0,0,0,1,0,0,0,1
0.908,0.621,1,-6.638,0,0.102,0.000282,5.39E-05,0.0958,0.421,150.011,177000,4,1,1,0,0,0,0,0,0,0,0,1
0.834,0.454,1,-9.75,0,0.201,0.321,6.15E-06,0.114,0.837,81.618,247059,4,1,1,0,0,0,0,0,0,0,0,1
0.834,0.73,8,-3.714,1,0.222,0.00513,0,0.124,0.446,155.008,312820,4,1,1,0,0,0,0,0,0,0,0,1
0.748,0.546,8,-8.134,1,0.106,0.59,0,0.112,0.413,140.005,220880,4,1,1,1,0,1,0,0,0,0,0,1
0.899,0.592,11,-7.901,0,0.333,0.263,0,0.0831,0.504,149.953,214139,4,1,1,0,0,0,0,0,0,0,0,1
0.489,0.598,1,-4.929,1,0.036,0.218,0,0.35,0.172,134.045,228373,3,0,0,0,1,0,0,1,0,0,0,1
0.741,0.326,2,-12.045,1,0.0395,0.918,0,0.0658,0.751,120.992,130267,4,0,0,0,0,0,0,0,0,0,0,1
0.567,0.913,8,-6.471,1,0.0736,0.0934,0.000124,0.114,0.792,93.35,210926,4,1,1,0,0,0,0,0,0,0,0,1
0.803,0.715,2,-3.28,1,0.298,0.295,0.000134,0.0574,0.574,101.085,200960,4,0,1,1,0,0,0,0,0,0,1,1
0.787,0.728,6,-3.455,0,0.389,0.189,2.29E-05,0.0629,0.545,180.066,200198,4,0,0,1,0,0,0,0,0,0,1,1
0.7,0.722,7,-3.558,0,0.0369,0.221,0,0.272,0.756,90.989,140526,4,1,1,0,1,1,0,0,0,0,0,1
0.625,0.536,0,-5.428,1,0.0776,0.038,2.31E-05,0.167,0.253,159.914,221787,4,1,1,0,0,1,0,0,0,0,0,1
0.842,0.801,8,-4.167,0,0.228,0.157,4.82E-06,0.0642,0.617,95.881,212500,4,0,0,0,1,1,0,0,0,1,0,1
0.752,0.87,9,-3.812,0,0.0623,0.0604,1.12E-05,0.489,0.784,120.006,157707,4,0,0,1,1,0,0,0,0,1,0,1
0.617,0.684,0,-3.618,1,0.0439,0.0545,0,0.104,0.295,132.113,150867,4,1,1,1,0,1,0,0,0,0,0,1
0.759,0.479,11,-10.65,1,0.186,0.0039,5.30E-06,0.302,0.347,140.089,195813,4,1,1,0,0,0,0,0,0,0,0,1
0.694,0.319,11,-10.061,1,0.0303,0.883,0,0.095,0.493,129.797,121969,4,1,1,0,0,0,0,0,0,0,0,1
0.794,0.793,11,-4.521,0,0.0842,0.0125,0,0.0952,0.677,123.941,183290,4,0,0,1,0,0,0,0,0,0,0,1
0.68,0.578,10,-5.804,1,0.04,0.331,0,0.135,0.341,145.038,231267,4,1,1,0,0,1,0,1,0,0,0,1
0.603,0.713,10,-7.579,0,0.0351,0.0409,0,0.27,0.796,141.985,116547,4,0,0,1,0,0,0,0,0,1,0,1
0.64,0.648,5,-8.113,0,0.187,0.124,0,0.0802,0.548,92.977,197867,4,0,0,1,0,0,0,0,0,0,0,1
0.24,0.598,7,-8.435,1,0.0369,0.766,0,0.117,0.776,201.629,151933,3,0,0,0,0,0,0,0,0,0,0,1
0.755,0.575,4,-8.392,0,0.0673,0.0443,0.00127,0.276,0.493,85.994,205147,4,1,1,0,0,0,0,0,0,0,0,1
0.599,0.667,7,-4.267,1,0.0367,0.0533,0,0.134,0.817,80.984,288877,4,1,1,0,0,0,0,0,0,0,0,1
0.663,0.567,5,-5.941,0,0.0309,0.0938,0.00978,0.124,0.139,108.959,361947,4,0,0,1,1,0,0,1,0,0,0,1
0.531,0.75,10,-5.831,0,0.111,0.00632,7.60E-05,0.117,0.198,169.954,200080,4,0,0,0,1,0,0,1,0,0,0,1
0.686,0.662,7,-8.505,1,0.0413,0.467,0.0023,0.109,0.706,147.922,230999,4,0,0,1,0,0,1,0,0,0,0,1
0.808,0.745,10,-5.26,0,0.342,0.145,0,0.292,0.829,165.995,210800,4,1,1,0,0,0,0,0,0,0,0,1
0.746,0.69,11,-7.956,1,0.164,0.247,0,0.101,0.497,89.977,181733,4,1,1,0,0,1,0,0,0,0,0,1
0.643,0.721,1,-5.248,1,0.0449,0.00268,6.51E-06,0.0898,0.317,102.914,190107,4,0,0,1,0,0,0,1,0,0,0,1
0.328,0.607,2,-11.076,1,0.0315,0.318,0,0.765,0.395,146.537,213880,3,0,0,1,0,0,0,0,1,0,0,1
0.806,0.546,9,-6.637,1,0.0575,0.3,0,0.102,0.874,147.986,212867,4,0,0,1,0,0,0,1,0,0,0,1
0.823,0.783,0,-6.274,1,0.154,0.21,0,0.113,0.199,141.882,191437,4,1,1,0,0,1,0,0,0,0,0,1
0.647,0.309,7,-7.948,0,0.0366,0.78,7.41E-06,0.202,0.195,87.045,171573,4,0,0,1,0,0,0,1,0,0,0,1
0.676,0.609,2,-5.831,0,0.481,0.0706,0,0.152,0.508,142.037,237735,4,1,1,0,0,1,0,0,0,0,0,1
0.856,0.694,2,-4.393,1,0.169,0.371,0,0.109,0.489,122.08,324189,4,1,1,0,0,0,0,0,0,0,0,1
0.854,0.463,5,-6.159,1,0.137,0.117,0,0.354,0.549,120.024,225773,4,1,1,0,0,1,0,0,0,0,0,1
0.456,0.263,0,-10.63,1,0.0332,0.806,0,0.0749,0.111,129.86,255894,4,0,0,1,0,0,1,0,0,0,0,1
0.687,0.514,9,-6.612,0,0.0897,0.366,0,0.116,0.494,145.921,210427,4,1,0,1,0,0,0,1,0,0,0,1
0.461,0.834,2,-4.868,1,0.0989,0.0232,1.14E-05,0.14,0.471,135.007,261154,4,0,0,1,0,0,0,0,1,0,0,1
0.529,0.9,1,-3.503,1,0.418,0.000248,1.21E-05,0.0426,0.434,180.291,104591,4,1,1,0,0,0,0,0,0,0,0,1
0.878,0.432,10,-9.852,0,0.143,0.041,0,0.0571,0.441,86.956,163973,4,1,1,0,0,0,0,0,0,0,0,1
0.809,0.463,11,-11.377,1,0.0396,0.256,0.085,0.109,0.364,111.98,298941,4,1,1,0,0,0,0,1,0,1,0,1
0.737,0.461,6,-6.887,1,0.293,0.447,0,0.268,0.481,75.005,182000,4,0,0,1,0,0,0,1,0,0,0,1
0.404,0.645,4,-3.221,0,0.0479,0.331,0,0.104,0.158,130.215,156253,4,1,1,1,0,1,0,0,0,0,0,1
0.837,0.364,8,-11.713,1,0.276,0.149,0,0.271,0.463,123.984,213594,4,1,1,0,0,0,0,0,0,0,0,1
0.905,0.389,8,-14.505,1,0.332,0.74,0.162,0.106,0.196,120.046,193143,4,0,0,1,0,0,1,1,0,0,0,1
0.359,0.543,7,-7.582,1,0.0915,0.492,1.57E-05,0.118,0.453,68.504,221307,4,0,0,1,0,0,0,0,0,0,0,1
0.878,0.619,6,-5.56,1,0.102,0.0533,0,0.113,0.639,136.041,157067,4,1,1,0,0,0,0,0,0,0,0,1
0.437,0.481,11,-9.681,0,0.237,0.377,0,0.33,0.216,83.606,239947,4,1,1,0,0,1,0,0,0,0,0,1
0.621,0.601,6,-5.616,0,0.148,0.0522,0,0.46,0.457,116.735,163636,5,1,1,0,0,0,0,1,0,0,0,1
0.618,0.71,8,-6.066,1,0.331,0.407,0,0.183,0.233,112.014,249450,4,0,0,0,0,0,0,0,0,0,0,1
0.599,0.642,0,-6.936,1,0.0363,0.164,3.33E-05,0.0992,0.349,115.412,222533,4,0,0,1,0,0,0,0,1,0,0,1
0.758,0.665,2,-5.188,0,0.0774,0.0815,0.000157,0.216,0.643,151.976,216893,4,0,0,1,0,0,0,1,0,0,0,1
0.901,0.522,2,-8.304,1,0.33,0.0114,0,0.259,0.329,104.053,127947,4,1,1,0,0,0,0,0,0,0,0,1
0.703,0.696,0,-5.482,1,0.0529,0.0375,5.65E-06,0.274,0.366,121.969,205947,4,0,0,1,0,0,0,1,0,1,0,1
