Track Name,Artist,Streams,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,analysis_url,duration_ms,time_signature,Label
Blinding Lights,The Weeknd,8453567,0.513,0.7959999999999999,1,-4.075,1,0.0629,0.00147,0.000209,0.0938,0.345,171.017,https://api.spotify.com/v1/audio-analysis/0sf12qNH5qcw8qpgymFOqD,201573,4,1
Righteous,Juice WRLD,4139236,0.706,0.625,0,-7.426,1,0.0314,0.0417,0.0,0.129,0.225,142.94799999999995,https://api.spotify.com/v1/audio-analysis/5dOxHHMOFAbG3VH23t0xNm,242181,4,1
the 1,Taylor Swift,7420303,0.777,0.35700000000000004,0,-6.942,1,0.0522,0.757,7.28e-06,0.108,0.172,139.88299999999998,https://api.spotify.com/v1/audio-analysis/0Jlcvv8IykzHaSmj49uNW8,210252,4,1
Hate The Other Side (with Marshmello & The Kid Laroi),Juice WRLD,4353990,0.701,0.65,6,-6.313,1,0.104,0.29100000000000004,0.0,0.112,0.647,90.00299999999999,https://api.spotify.com/v1/audio-analysis/0ada5XsQGLPUVbmTCkAP49,160212,4,1
Play Date,Melanie Martinez,1996619,0.68,0.7290000000000001,5,-5.077,1,0.0475,0.612,0.0,0.224,0.446,123.97,https://api.spotify.com/v1/audio-analysis/4DpNNXFMMxQEKl7r0ykkWA,179867,4,1
Savage Remix (feat. Beyoncé),Megan Thee Stallion,3263894,0.8220000000000001,0.743,10,-4.772,0,0.28,0.016,0.0,0.127,0.636,84.459,https://api.spotify.com/v1/audio-analysis/5v4GgrXPMghOnBBLmveLac,242001,4,1
FRANCHISE (feat. Young Thug & M.I.A.),Travis Scott,3665233,0.835,0.6990000000000001,8,-5.405,0,0.277,0.00671,0.0,0.195,0.547,154.981,https://api.spotify.com/v1/audio-analysis/4jVBIpuOiMj1crqd8LoCrJ,202795,4,1
CÓMO SE SIENTE - Remix,Jhay Cortez,2370986,0.807,0.606,3,-8.871,0,0.08800000000000001,0.0946,0.0,0.119,0.304,92.988,https://api.spotify.com/v1/audio-analysis/2tFwfmceQa1Y6nRPhYbEtC,227520,4,1
7 Summers,Morgan Wallen,2504919,0.625,0.775,0,-5.199,1,0.0248,0.431,5.23e-05,0.12,0.588,101.961,https://api.spotify.com/v1/audio-analysis/0Z0kNthq0sS4lvGz9SSlBF,210123,4,1
Lose Somebody,Kygo,1992542,0.58,0.586,1,-6.882999999999999,1,0.0357,0.344,0.0,0.0755,0.507,147.988,https://api.spotify.com/v1/audio-analysis/1sgDyuLooyvEML4oHspNza,199549,4,1
GOOBA,6ix9ine,4456057,0.611,0.688,1,-5.688,1,0.341,0.0264,0.0,0.251,0.393,178.46200000000005,https://api.spotify.com/v1/audio-analysis/4NhDYoQTYCdWHTvlbGVgwo,132303,4,1
THE SCOTTS,THE SCOTTS,7446848,0.716,0.537,0,-7.648,0,0.0514,0.233,0.0,0.157,0.28,129.97899999999998,https://api.spotify.com/v1/audio-analysis/39Yp9wwQiSRIDOvrVg7mbk,165978,4,1
exile (feat. Bon Iver),Taylor Swift,6977835,0.298,0.38,6,-8.426,1,0.0287,0.778,5.62e-05,0.11,0.152,75.602,https://api.spotify.com/v1/audio-analysis/4pvb0WLRcMtbPGmtejJJ6y,285634,4,1
Be Kind (with Halsey),Marshmello,2428184,0.63,0.633,4,-7.087999999999999,1,0.0457,0.007759999999999999,0.0,0.0541,0.452,93.995,https://api.spotify.com/v1/audio-analysis/3Z8FwOEN59mRMxDCtb8N0A,172762,4,1
Hasta Que Dios Diga,Anuel AA,2063467,0.691,0.765,8,-4.727,1,0.111,0.464,3.29e-06,0.203,0.855,174.021,https://api.spotify.com/v1/audio-analysis/06s3QtMJVXw1AJX3UfvZG1,246000,4,1
Take You Dancing,Jason Derulo,2026190,0.789,0.711,2,-4.248,1,0.041,0.0332,0.0,0.0876,0.753,112.985,https://api.spotify.com/v1/audio-analysis/59qrUpoplZxbIZxk6X0Bm3,190306,4,1
POPSTAR (feat. Drake),DJ Khaled,4282116,0.8,0.56,5,-4.8180000000000005,0,0.261,0.057,0.0,0.134,0.45,163.071,https://api.spotify.com/v1/audio-analysis/6EDO9iiTtwNv6waLwa1UUq,200221,4,1
TKN (feat. Travis Scott),ROSALÍA,3436187,0.7759999999999999,0.509,0,-6.266,0,0.467,0.192,1.49e-06,0.115,0.485,94.634,https://api.spotify.com/v1/audio-analysis/4w47S36wQGBhGg073q3nt7,129371,4,1
cardigan,Taylor Swift,7742178,0.613,0.581,0,-8.588,0,0.0424,0.537,0.00034500000000000004,0.25,0.551,130.033,https://api.spotify.com/v1/audio-analysis/4R2kfaDFhslZEMJqAFNpdd,239560,4,1
you broke me first,Tate McRae,2846451,0.642,0.374,4,-9.386,1,0.0545,0.7859999999999999,0.0,0.0906,0.0799,124.099,https://api.spotify.com/v1/audio-analysis/45bE4HXI0AwGZXfZtMp8JR,169266,4,1
my future,Billie Eilish,5183389,0.444,0.309,8,-10.956,1,0.062,0.795,0.132,0.35200000000000004,0.0875,104.745,https://api.spotify.com/v1/audio-analysis/2ygvZOXrIeVL4xZmAWJT2C,208155,4,1
How You Like That,BLACKPINK,4894830,0.828,0.782,11,-4.0139999999999985,1,0.0918,0.0694,3.41e-05,0.0544,0.35100000000000003,130.013,https://api.spotify.com/v1/audio-analysis/3vAn0qZzdyuHamcrpkfiX3,181264,4,1
Stuck with U (with Justin Bieber),Ariana Grande,6583884,0.597,0.45,8,-6.658,1,0.0418,0.223,0.0,0.382,0.537,178.765,https://api.spotify.com/v1/audio-analysis/4HBZA5flZLE435QTztThqH,228482,3,1
