danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Label
0.51,0.8,1,-4.08,1,0.06,0,0,0.09,0.35,171.02,201573,4,1
0.71,0.63,0,-7.43,1,0.03,0.04,0,0.13,0.23,142.95,242181,4,1
0.78,0.36,0,-6.94,1,0.05,0.76,0,0.11,0.17,139.88,210252,4,1
0.7,0.65,6,-6.31,1,0.1,0.29,0,0.11,0.65,90,160212,4,1
0.68,0.73,5,-5.08,1,0.05,0.61,0,0.22,0.45,123.97,179867,4,1
0.82,0.74,10,-4.77,0,0.28,0.02,0,0.13,0.64,84.46,242001,4,1
0.84,0.7,8,-5.41,0,0.28,0.01,0,0.2,0.55,154.98,202795,4,1
0.81,0.61,3,-8.87,0,0.09,0.09,0,0.12,0.3,92.99,227520,4,1
0.63,0.78,0,-5.2,1,0.02,0.43,0,0.12,0.59,101.96,210123,4,1
0.58,0.59,1,-6.88,1,0.04,0.34,0,0.08,0.51,147.99,199549,4,1
0.61,0.69,1,-5.69,1,0.34,0.03,0,0.25,0.39,178.46,132303,4,1
0.72,0.54,0,-7.65,0,0.05,0.23,0,0.16,0.28,129.98,165978,4,1
0.3,0.38,6,-8.43,1,0.03,0.78,0,0.11,0.15,75.6,285634,4,1
0.63,0.63,4,-7.09,1,0.05,0.01,0,0.05,0.45,94,172762,4,1
0.69,0.77,8,-4.73,1,0.11,0.46,0,0.2,0.86,174.02,246000,4,1
0.79,0.71,2,-4.25,1,0.04,0.03,0,0.09,0.75,112.99,190306,4,1
0.8,0.56,5,-4.82,0,0.26,0.06,0,0.13,0.45,163.07,200221,4,1
0.78,0.51,0,-6.27,0,0.47,0.19,0,0.12,0.49,94.63,129371,4,1
0.61,0.58,0,-8.59,0,0.04,0.54,0,0.25,0.55,130.03,239560,4,1
0.64,0.37,4,-9.39,1,0.05,0.79,0,0.09,0.08,124.1,169266,4,1
0.44,0.31,8,-10.96,1,0.06,0.8,0.13,0.35,0.09,104.75,208155,4,1
0.83,0.78,11,-4.01,1,0.09,0.07,0,0.05,0.35,130.01,181264,4,1
0.6,0.45,8,-6.66,1,0.04,0.22,0,0.38,0.54,178.77,228482,3,1
0.74,0.45,10,-7.51,1,0.35,0.63,0,0.11,0.04,122.95,220488,4,1
0.63,0.45,1,-8.9,1,0.04,0.34,0,0.17,0.18,143.08,202193,4,1
0.55,0.61,0,-7.48,1,0.14,0.16,0,0.12,0.24,148.06,247187,4,1
0.73,0.79,4,-2.49,1,0.07,0.01,0,0.06,0.89,124.99,199987,4,1
0.49,0.65,0,-5.2,1,0.03,0.19,0,0.09,0.46,151.96,232533,4,1
0.64,0.86,4,-5.22,0,0.13,0.05,0,0.69,0.23,120.08,239973,4,1
0.22,0.65,4,-7.95,0,0.06,0.03,0.11,0.17,0.06,65.38,250053,4,1
0.78,0.51,4,-5.72,0,0.04,0.14,0,0.12,0.12,99.99,143375,4,1
0.5,0.5,0,-8.24,1,0.05,0.13,0,0.09,0.2,87.22,191307,4,1
0.47,0.61,10,-7.85,1,0.07,0.09,0,0.13,0.11,80.96,211400,4,1
0.86,0.55,1,-5.82,1,0.29,0.21,0,0.1,0.3,128.02,211883,4,1
0.93,0.56,9,-7.43,1,0.49,0,0,0.24,0.35,129.96,213885,4,1
0.53,0.62,5,-9.21,1,0.03,0.54,0,0.09,0.4,89.94,261923,4,1
0.59,0.7,3,-9,1,0.05,0.66,0,0.11,0.51,141.92,237258,4,1
0.35,0.27,1,-13.69,1,0.03,0.73,0,0.09,0.11,94.22,289749,4,1
0.65,0.27,5,-12.91,1,0.09,0.92,0,0.09,0.34,150.04,234000,4,1
0.66,0.18,8,-15.07,1,0.04,0.97,0,0.13,0.43,118.82,220043,4,1
0.73,0.66,6,-7.62,0,0.19,0.08,0,0.12,0.23,139.96,210587,4,1
0.61,0.57,10,-9.45,0,0.35,0.04,0,0.34,0.29,81.41,304640,4,1
0.86,0.64,11,-4.64,0,0.2,0.12,0,0.43,0.75,111,206221,4,1
0.77,0.83,7,-5.02,1,0.06,0.02,0,0.08,0.7,94.01,194200,4,1
0.72,0.63,1,-5.4,1,0.05,0.09,0,0.08,0.55,129.02,243733,4,1
0.74,0.42,1,-8.95,1,0.29,0.03,0,0.11,0.49,180.01,202667,4,1
